Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:56:53 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (166.67 KIPS)
** Heartbeat:  10% -- { 2000009 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 125.00 KIPS (150.00 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 125.00 KIPS (142.86 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 111.11 KIPS (138.46 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 111.11 KIPS (135.14 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 125.00 KIPS (134.15 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 142.86 KIPS (134.83 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 142.86 KIPS (135.42 KIPS)
** Heartbeat:  70% -- { 14000039 } -- 166.67 KIPS (137.26 KIPS)
** Heartbeat:  75% -- { 15000039 } -- 142.86 KIPS (137.62 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 166.67 KIPS (139.13 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 142.86 KIPS (139.34 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 200.00 KIPS (141.73 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 166.67 KIPS (142.86 KIPS)
** Core 0 Finished:    insts:20000002    cycles:14874079    time:4648149687500       -- 1.34 IPC (1.34 IPC) --  N/A  KIPS (144.93 KIPS)
Scarab finished at Fri Nov  1 19:59:12 2024

