Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:57:04 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (166.67 KIPS)
** Heartbeat:  10% -- { 2000009 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 125.00 KIPS (150.00 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 142.86 KIPS (148.15 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 125.00 KIPS (142.86 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 166.67 KIPS (146.34 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 142.86 KIPS (145.83 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 166.67 KIPS (148.15 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 111.11 KIPS (142.86 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 111.11 KIPS (138.89 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 142.86 KIPS (139.24 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 125.00 KIPS (137.93 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 166.67 KIPS (139.79 KIPS)
** Heartbeat:  70% -- { 14000039 } -- 142.86 KIPS (140.00 KIPS)
** Heartbeat:  75% -- { 15000039 } -- 166.67 KIPS (141.51 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 166.67 KIPS (142.86 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 200.00 KIPS (145.16 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 166.67 KIPS (146.15 KIPS)
** Core 0 Finished:    insts:20000002    cycles:14783202    time:4619750625000       -- 1.35 IPC (1.35 IPC) --  N/A  KIPS (148.15 KIPS)
Scarab finished at Fri Nov  1 19:59:19 2024

