Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:54:44 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (200.00 KIPS)
** Heartbeat:  10% -- { 2000009 } -- 250.00 KIPS (222.22 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 166.67 KIPS (200.00 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 200.00 KIPS (200.00 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 166.67 KIPS (192.31 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 200.00 KIPS (193.55 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 200.00 KIPS (194.45 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 200.00 KIPS (195.12 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 142.86 KIPS (187.50 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 111.11 KIPS (175.44 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 76.92 KIPS (157.14 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 71.43 KIPS (142.86 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 83.33 KIPS (135.42 KIPS)
** Heartbeat:  70% -- { 14000039 } -- 83.33 KIPS (129.63 KIPS)
** Heartbeat:  75% -- { 15000039 } -- 83.33 KIPS (125.00 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 83.33 KIPS (121.21 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 83.33 KIPS (118.06 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 90.91 KIPS (116.13 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 100.00 KIPS (115.15 KIPS)
** Core 0 Finished:    insts:20000002    cycles:15087643    time:4714888437500       -- 1.33 IPC (1.33 IPC) --  N/A  KIPS (114.29 KIPS)
Scarab finished at Fri Nov  1 19:57:40 2024

