Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:55:01 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (142.86 KIPS)
** Heartbeat:  10% -- { 2000010 } -- 142.86 KIPS (142.86 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 111.11 KIPS (130.44 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 111.11 KIPS (125.00 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 100.00 KIPS (119.05 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 90.91 KIPS (113.21 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 100.00 KIPS (111.11 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 90.91 KIPS (108.11 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 71.43 KIPS (102.27 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 66.67 KIPS (97.09 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 76.92 KIPS (94.83 KIPS)
** Heartbeat:  60% -- { 12000032 } -- 71.43 KIPS (92.31 KIPS)
** Heartbeat:  65% -- { 13000033 } -- 83.33 KIPS (91.55 KIPS)
** Heartbeat:  70% -- { 14000036 } -- 90.91 KIPS (91.50 KIPS)
** Heartbeat:  75% -- { 15000036 } -- 100.00 KIPS (92.02 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 200.00 KIPS (95.24 KIPS)
** Heartbeat:  85% -- { 17000042 } -- 166.67 KIPS (97.70 KIPS)
** Heartbeat:  90% -- { 18000044 } -- 200.00 KIPS (100.56 KIPS)
** Heartbeat:  95% -- { 19000047 } -- 200.00 KIPS (103.26 KIPS)
** Core 0 Finished:    insts:20000002    cycles:15689085    time:4902839062500       -- 1.27 IPC (1.27 IPC) --  N/A  KIPS (106.38 KIPS)
Scarab finished at Fri Nov  1 19:58:09 2024

