Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:57:17 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (166.67 KIPS)
** Heartbeat:  10% -- { 2000009 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 125.00 KIPS (150.00 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 142.86 KIPS (148.15 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 142.86 KIPS (147.06 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 166.67 KIPS (150.00 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 142.86 KIPS (148.94 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 142.86 KIPS (148.15 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 111.11 KIPS (142.86 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 125.00 KIPS (140.85 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 125.00 KIPS (139.24 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 142.86 KIPS (139.54 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 142.86 KIPS (139.79 KIPS)
** Heartbeat:  70% -- { 14000039 } -- 166.67 KIPS (141.41 KIPS)
** Heartbeat:  75% -- { 15000039 } -- 142.86 KIPS (141.51 KIPS)
** Heartbeat:  80% -- { 16000041 } -- 166.67 KIPS (142.86 KIPS)
** Heartbeat:  85% -- { 17000041 } -- 166.67 KIPS (144.07 KIPS)
** Heartbeat:  90% -- { 18000041 } -- 200.00 KIPS (146.34 KIPS)
** Heartbeat:  95% -- { 19000041 } -- 200.00 KIPS (148.44 KIPS)
** Core 0 Finished:    insts:20000002    cycles:14755162    time:4610988125000       -- 1.36 IPC (1.36 IPC) --  N/A  KIPS (151.52 KIPS)
Scarab finished at Fri Nov  1 19:59:29 2024

