Scarab gitrev: 3541854
Scarab started at Fri Nov  1 19:55:19 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000005 } -- 0.00 KIPS (142.86 KIPS)
** Heartbeat:  10% -- { 2000010 } -- 166.67 KIPS (153.85 KIPS)
** Heartbeat:  15% -- { 3000013 } -- 125.00 KIPS (142.86 KIPS)
** Heartbeat:  20% -- { 4000015 } -- 166.67 KIPS (148.15 KIPS)
** Heartbeat:  25% -- { 5000019 } -- 200.00 KIPS (156.25 KIPS)
** Heartbeat:  30% -- { 6000020 } -- 200.00 KIPS (162.16 KIPS)
** Heartbeat:  35% -- { 7000022 } -- 200.00 KIPS (166.67 KIPS)
** Heartbeat:  40% -- { 8000024 } -- 200.00 KIPS (170.21 KIPS)
** Heartbeat:  45% -- { 9000027 } -- 166.67 KIPS (169.81 KIPS)
** Heartbeat:  50% -- { 10000028 } -- 125.00 KIPS (163.93 KIPS)
** Heartbeat:  55% -- { 11000032 } -- 166.67 KIPS (164.18 KIPS)
** Heartbeat:  60% -- { 12000037 } -- 166.67 KIPS (164.38 KIPS)
** Heartbeat:  65% -- { 13000039 } -- 166.67 KIPS (164.56 KIPS)
** Heartbeat:  70% -- { 14000042 } -- 200.00 KIPS (166.67 KIPS)
** Heartbeat:  75% -- { 15000043 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  80% -- { 16000047 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  85% -- { 17000051 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  90% -- { 18000053 } -- 166.67 KIPS (166.67 KIPS)
** Heartbeat:  95% -- { 19000055 } -- 200.00 KIPS (168.14 KIPS)
** Core 0 Finished:    insts:20000002    cycles:15498944    time:4843420000000       -- 1.29 IPC (1.29 IPC) --  N/A  KIPS (169.49 KIPS)
Scarab finished at Fri Nov  1 19:57:17 2024

